Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,65,attr_val,23,35,score,1.2,0.050632616171330636,0.20303536583319798,0.0
credit,1446,attr_val,838,58,score,1.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.3,0.050632616171330636,0.19542158775308743,0.0
credit,1446,attr_val,838,58,score,1.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.4,0.050632616171330636,0.20534905607113668,0.0
credit,1446,attr_val,838,58,score,1.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.5,0.050632616171330636,0.19403095018304758,0.0
credit,1446,attr_val,838,58,score,1.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.6,0.050632616171330636,0.19782177288814048,0.0
credit,1446,attr_val,838,58,score,1.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.7,0.050632616171330636,0.19520675155800168,0.0
credit,1446,attr_val,838,58,score,1.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.8,0.050632616171330636,0.19614290402629128,0.0
credit,1446,attr_val,838,58,score,1.8,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.2,0.050632616171330636,0.20001752316279467,0.0
credit,1446,attr_val,838,58,score,2.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.3,0.050632616171330636,0.1995296301503682,0.0
credit,1446,attr_val,838,58,score,2.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.4,0.050632616171330636,0.19520675155800168,0.0
credit,1446,attr_val,838,58,score,2.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.5,0.050632616171330636,0.19567370810105775,0.0
credit,1446,attr_val,838,58,score,2.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.6,0.050632616171330636,0.1978217728881405,0.0
credit,1446,attr_val,838,58,score,2.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.7,0.050632616171330636,0.19734452027276617,0.0
credit,1446,attr_val,838,58,score,2.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.8,0.050632616171330636,0.19782177288814048,0.0
credit,1446,attr_val,838,58,score,2.8,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,3.2,0.04777897922706467,0.18882170238708296,0.0
credit,1446,attr_val,838,58,score,3.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,3.3,0.04777897922706467,0.18586800006986454,0.0
credit,1446,attr_val,838,58,score,3.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,3.4,0.04777897922706467,0.18498299971631887,0.0
credit,1446,attr_val,838,58,score,3.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,3.5,0.04777897922706467,0.19408403694840315,0.0
credit,1446,attr_val,838,58,score,3.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,3.6,0.04777897922706467,0.19334063891616315,0.0
credit,1446,attr_val,838,58,score,3.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,3.7,0.04777897922706467,0.18542444390884708,0.0
credit,1446,attr_val,838,58,score,3.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,3.8,0.04777897922706467,0.18999413549211264,0.0
credit,1446,attr_val,838,58,score,3.8,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,4.2,0.050632616171330636,0.19686956489569965,0.0
credit,1446,attr_val,838,58,score,4.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,4.3,0.050632616171330636,0.19614290402629128,0.0
credit,1446,attr_val,838,58,score,4.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,4.4,0.050632616171330636,0.20176367136228332,0.0
credit,1446,attr_val,838,58,score,4.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,4.5,0.050632616171330636,0.19567370810105775,0.0
credit,1446,attr_val,838,58,score,4.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,4.6,0.050632616171330636,0.1963968902102532,0.0
credit,1446,attr_val,838,58,score,4.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,4.7,0.050632616171330636,0.20253265770228768,0.0
credit,1446,attr_val,838,58,score,4.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,4.8,0.050632616171330636,0.20001752316279467,0.0
credit,1446,attr_val,838,58,score,4.8,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,5.2,0.050632616171330636,0.2007732319057894,0.0
credit,1446,attr_val,838,58,score,5.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,5.3,0.050632616171330636,0.1963968902102532,0.0
credit,1446,attr_val,838,58,score,5.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,5.4,0.050632616171330636,0.19686956489569962,0.0
credit,1446,attr_val,838,58,score,5.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,5.5,0.050632616171330636,0.19357179209704298,0.0
credit,1446,attr_val,838,58,score,5.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,5.6,0.050632616171330636,0.19567370810105775,0.0
credit,1446,attr_val,838,58,score,5.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,5.7,0.050632616171330636,0.1995296301503682,0.0
credit,1446,attr_val,838,58,score,5.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,5.8,0.050632616171330636,0.1985609500215037,0.0
credit,1446,attr_val,838,58,score,5.8,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,6.2,0.04777897922706467,0.19024502600605167,0.0
credit,1446,attr_val,838,58,score,6.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,6.3,0.04777897922706467,0.18518609887765805,0.0
credit,1446,attr_val,838,58,score,6.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,6.4,0.04777897922706467,0.19024502600605167,0.0
credit,1446,attr_val,838,58,score,6.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,6.5,0.04777897922706467,0.18542444390884708,0.0
credit,1446,attr_val,838,58,score,6.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,6.6,0.04777897922706467,0.18542444390884708,0.0
credit,1446,attr_val,838,58,score,6.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,6.7,0.04777897922706467,0.18861055494184564,0.0
credit,1446,attr_val,838,58,score,6.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,6.8,0.04777897922706467,0.18430756493638314,0.0
credit,1446,attr_val,838,58,score,6.8,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,7.2,0.050632616171330636,0.19904411153356774,0.0
credit,1446,attr_val,838,58,score,7.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,7.3,0.050632616171330636,0.20176367136228332,0.0
credit,1446,attr_val,838,58,score,7.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,7.4,0.050632616171330636,0.19952963015036823,0.0
credit,1446,attr_val,838,58,score,7.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,7.5,0.050632616171330636,0.19734452027276622,0.0
credit,1446,attr_val,838,58,score,7.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,7.6,0.050632616171330636,0.1963968902102532,0.0
credit,1446,attr_val,838,58,score,7.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,7.7,0.050632616171330636,0.20001752316279472,0.0
credit,1446,attr_val,838,58,score,7.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,7.8,0.050632616171330636,0.19734452027276622,0.0
credit,1446,attr_val,838,58,score,7.8,0.12920681659409874,0.247580724012454,0.042197629117656385
